"Start"	"End"	"Segment"	"NGS_read_count"
315	2169	"PB2"	1
277	2146	"PB2"	1
227	2173	"PB2"	1
316	2088	"PB2"	1
147	1887	"PB2"	1
97	2163	"PB2"	1
163	1802	"PB2"	1
99	2078	"PB2"	1
265	2023	"PB2"	1
388	1997	"PB2"	1
222	1954	"PB2"	1
172	1888	"PB2"	1
284	1837	"PB2"	1
178	2042	"PB2"	1
152	2050	"PB2"	1
207	1972	"PB2"	1
137	1907	"PB2"	1
308	2126	"PB2"	1
76	2036	"PB2"	1
396	2124	"PB2"	1
260	1883	"PB2"	1
108	1990	"PB2"	1
329	1862	"PB2"	1
120	2131	"PB2"	1
145	1891	"PB2"	1
139	2060	"PB2"	1
170	1839	"PB2"	1
204	1859	"PB2"	1
354	2169	"PB2"	1
371	1797	"PB2"	1
332	1982	"PB2"	1
110	1907	"PB2"	1
275	2180	"PB2"	1
264	1797	"PB2"	1
373	2011	"PB2"	1
359	1846	"PB2"	1
182	2119	"PB2"	1
274	1834	"PB2"	1
250	1843	"PB2"	1
152	2063	"PB2"	1
288	2066	"PB2"	1
77	1949	"PB2"	1
81	2054	"PB2"	1
87	2159	"PB2"	1
206	1960	"PB2"	1
93	1911	"PB2"	1
220	1979	"PB2"	1
239	1824	"PB2"	1
346	1943	"PB2"	1
324	2054	"PB2"	1
269	2174	"PB2"	1
287	1800	"PB2"	1
83	1904	"PB2"	1
197	2170	"PB2"	1
227	2187	"PB2"	1
271	2036	"PB2"	1
348	2136	"PB2"	1
391	2014	"PB2"	1
220	1814	"PB2"	1
234	2055	"PB2"	1
219	2186	"PB2"	1
142	2080	"PB2"	1
293	2115	"PB2"	1
329	2177	"PB2"	1
331	1818	"PB2"	1
144	1941	"PB2"	1
160	2053	"PB2"	1
169	1870	"PB2"	1
112	1854	"PB2"	1
55	2145	"PB2"	1
144	1920	"PB2"	1
363	1828	"PB2"	1
397	1892	"PB2"	1
160	2142	"PB2"	1
66	1832	"PB2"	1
355	1924	"PB2"	1
380	2112	"PB2"	1
360	2076	"PB2"	1
373	2162	"PB2"	1
144	1998	"PB2"	1
323	2150	"PB2"	1
78	2131	"PB2"	1
141	1937	"PB2"	1
359	2128	"PB2"	1
173	1896	"PB2"	1
241	1907	"PB2"	1
75	1837	"PB2"	1
125	2091	"PB2"	1
284	2052	"PB2"	1
275	1904	"PB2"	1
93	2108	"PB2"	1
177	2061	"PB2"	1
193	1873	"PB2"	1
157	2127	"PB2"	1
139	1996	"PB2"	1
233	2026	"PB2"	1
358	1865	"PB2"	1
125	1876	"PB2"	1
74	2086	"PB2"	1
81	1815	"PB2"	1
348	1924	"PB2"	1
214	1909	"PB2"	1
160	2057	"PB2"	1
221	2127	"PB2"	1
356	2032	"PB2"	1
243	1903	"PB2"	1
132	2063	"PB2"	1
94	1910	"PB2"	1
123	1833	"PB2"	1
323	1951	"PB2"	1
386	1808	"PB2"	1
397	1854	"PB2"	1
340	2000	"PB2"	1
164	2013	"PB2"	1
97	2067	"PB2"	1
112	2186	"PB2"	1
313	2029	"PB2"	1
281	1950	"PB2"	1
341	1829	"PB2"	1
356	2033	"PB2"	1
338	2090	"PB2"	1
168	1976	"PB2"	1
114	1867	"PB2"	1
221	1839	"PB2"	1
209	1909	"PB2"	1
385	1868	"PB2"	1
84	2053	"PB2"	1
325	1984	"PB2"	1
60	2091	"PB2"	1
300	1910	"PB2"	1
117	2007	"PB2"	1
375	1828	"PB2"	1
56	1929	"PB2"	1
381	2137	"PB2"	1
173	2141	"PB2"	1
119	1969	"PB2"	1
338	1820	"PB2"	1
256	2102	"PB2"	1
299	1984	"PB2"	1
291	1934	"PB2"	1
84	2111	"PB2"	1
176	1819	"PB2"	1
272	2011	"PB2"	1
236	2143	"PB2"	1
244	2123	"PB2"	1
131	1918	"PB2"	1
286	2189	"PB2"	1
105	1974	"PB2"	1
395	1912	"PB2"	1
254	1851	"PB2"	1
298	1951	"PB2"	1
252	1940	"PB2"	1
148	2046	"PB2"	1
137	2116	"PB2"	1
391	1853	"PB2"	1
190	1864	"PB2"	1
192	2181	"PB2"	1
172	1894	"PB2"	1
131	2116	"PB2"	1
217	2016	"PB2"	1
336	1905	"PB2"	1
141	2029	"PB2"	1
157	2131	"PB2"	1
301	2136	"PB2"	1
364	2060	"PB2"	1
262	2016	"PB2"	1
62	1920	"PB2"	1
294	1838	"PB2"	1
75	1944	"PB2"	1
59	2110	"PB2"	1
190	1853	"PB2"	1
268	2098	"PB2"	1
154	2068	"PB2"	1
79	2029	"PB2"	1
275	1819	"PB2"	1
269	1830	"PB2"	1
237	1976	"PB2"	1
155	1995	"PB2"	1
128	1997	"PB2"	1
360	2032	"PB2"	1
52	1990	"PB2"	1
341	1857	"PB2"	1
187	2012	"PB2"	1
372	1852	"PB2"	1
251	2000	"PB2"	1
168	2122	"PB2"	1
288	2019	"PB2"	1
100	2150	"PB2"	1
312	1858	"PB2"	1
137	2118	"PB2"	1
308	2062	"PB2"	1
298	2022	"PB2"	1
63	2061	"PB2"	1
377	2082	"PB2"	1
366	2132	"PB2"	1
259	2173	"PB2"	1
190	2046	"PB2"	1
235	1809	"PB2"	1
374	1819	"PB2"	1
228	2194	"PB2"	1
349	2003	"PB2"	1
247	2080	"PB2"	1
339	1869	"PB2"	1
259	2032	"PB2"	1
206	1910	"PB2"	1
152	1981	"PB2"	1
107	1904	"PB2"	1
92	1967	"PB2"	1
383	2129	"PB2"	1
357	1881	"PB2"	1
302	2023	"PB2"	1
345	2158	"PB2"	1
193	2041	"PB2"	1
119	2143	"PB2"	1
220	2115	"PB2"	1
311	1900	"PB2"	1
159	2125	"PB2"	1
214	2042	"PB2"	1
278	1977	"PB2"	1
394	2159	"PB2"	1
257	1862	"PB2"	1
128	1999	"PB2"	1
199	1976	"PB2"	1
227	2069	"PB2"	1
382	2028	"PB2"	1
311	1876	"PB2"	1
77	1856	"PB2"	1
392	1904	"PB2"	1
208	2030	"PB2"	1
131	2009	"PB2"	1
307	2001	"PB2"	1
284	1923	"PB2"	1
382	1993	"PB2"	1
393	1827	"PB2"	1
260	2134	"PB2"	1
393	1834	"PB2"	1
276	1868	"PB2"	1
178	2169	"PB2"	1
397	2056	"PB2"	1
87	1809	"PB2"	1
180	1994	"PB2"	1
169	2091	"PB2"	1
296	2070	"PB2"	1
304	2050	"PB2"	1
296	1998	"PB2"	1
234	2170	"PB2"	1
195	2116	"PB2"	1
396	2180	"PB2"	1
140	2049	"PB2"	1
120	1918	"PB2"	1
274	2189	"PB2"	1
91	1988	"PB2"	1
78	1990	"PB2"	1
254	2171	"PB2"	1
112	1966	"PB2"	1
195	2096	"PB2"	1
275	2105	"PB2"	1
199	2142	"PB2"	1
186	2056	"PB2"	1
199	1982	"PB2"	1
215	1893	"PB2"	1
332	2121	"PB2"	1
125	2183	"PB2"	1
71	2151	"PB2"	1
277	2079	"PB2"	1
356	2161	"PB2"	1
392	2076	"PB2"	1
107	2197	"PB2"	1
354	1874	"PB2"	1
141	1831	"PB2"	1
312	2094	"PB2"	1
197	2038	"PB2"	1
108	1960	"PB2"	1
371	2080	"PB2"	1
73	2108	"PB2"	1
264	2176	"PB2"	1
188	1901	"PB2"	1
259	1923	"PB2"	1
117	1952	"PB2"	1
362	1932	"PB2"	1
193	2127	"PB2"	1
179	2063	"PB2"	1
288	2066	"PB2"	1
182	1833	"PB2"	1
216	2006	"PB2"	1
195	2185	"PB2"	1
169	1880	"PB2"	1
152	2096	"PB2"	1
344	2145	"PB2"	1
83	2026	"PB2"	1
353	2028	"PB2"	1
172	2038	"PB2"	1
130	1963	"PB2"	1
323	2049	"PB2"	1
135	1817	"PB2"	1
390	1821	"PB2"	1
106	1915	"PB2"	1
59	2017	"PB2"	1
123	1981	"PB2"	1
110	2137	"PB2"	1
231	2171	"PB2"	1
394	2075	"PB2"	1
115	1819	"PB2"	1
319	2043	"PB2"	1
83	2112	"PB2"	1
315	1983	"PB2"	1
245	2004	"PB2"	1
56	2128	"PB2"	1
256	2152	"PB2"	1
76	1960	"PB2"	1
365	2144	"PB2"	1
256	2063	"PB2"	1
291	1880	"PB2"	1
210	1896	"PB2"	1
175	2060	"PB2"	1
70	1953	"PB2"	1
338	1828	"PB2"	1
127	2186	"PB2"	1
387	1909	"PB2"	1
79	1878	"PB2"	1
210	1827	"PB2"	1
114	2140	"PB2"	1
388	1839	"PB2"	1
167	1956	"PB2"	1
335	2112	"PB2"	1
309	2160	"PB2"	1
106	1901	"PB2"	1
115	2122	"PB2"	1
318	2095	"PB2"	1
205	1872	"PB2"	1
303	2184	"PB2"	1
190	1847	"PB2"	1
386	1870	"PB2"	1
245	1801	"PB2"	1
276	1927	"PB2"	1
140	2178	"PB2"	1
224	2146	"PB2"	1
62	2069	"PB2"	1
299	1950	"PB2"	1
201	2071	"PB2"	1
383	1841	"PB2"	1
124	1926	"PB2"	1
265	1980	"PB2"	1
315	1968	"PB2"	1
92	1824	"PB2"	1
109	1887	"PB2"	1
377	1912	"PB2"	1
192	2066	"PB2"	1
166	1802	"PB2"	1
164	2008	"PB2"	1
361	1815	"PB2"	1
323	2139	"PB2"	1
285	1842	"PB2"	1
249	2066	"PB2"	1
269	2057	"PB2"	1
67	2155	"PB2"	1
143	2027	"PB2"	1
303	2196	"PB2"	1
172	2193	"PB2"	1
107	1865	"PB2"	1
202	1851	"PB2"	1
141	2111	"PB2"	1
258	1887	"PB2"	1
244	1967	"PB2"	1
256	2030	"PB2"	1
304	2095	"PB2"	1
324	1914	"PB2"	1
357	1933	"PB2"	1
81	2172	"PB2"	1
162	2165	"PB2"	1
275	2185	"PB2"	1
205	2014	"PB2"	1
237	2018	"PB2"	1
227	2082	"PB2"	1
263	1972	"PB2"	1
320	1805	"PB2"	1
136	2106	"PB2"	1
333	1828	"PB2"	1
331	2074	"PB2"	1
95	1917	"PB2"	1
273	2153	"PB2"	1
201	1815	"PB2"	1
264	1882	"PB2"	1
303	1966	"PB2"	1
146	2003	"PB2"	1
120	2009	"PB2"	1
201	2163	"PB2"	1
252	1933	"PB2"	1
231	1899	"PB2"	1
326	2093	"PB2"	1
374	1811	"PB2"	1
356	2021	"PB2"	1
102	1953	"PB2"	1
387	1847	"PB2"	1
271	1995	"PB2"	1
93	1807	"PB2"	1
122	1967	"PB2"	1
126	2195	"PB2"	1
150	2129	"PB2"	1
91	1866	"PB2"	1
276	1928	"PB2"	1
225	1969	"PB2"	1
61	2157	"PB2"	1
171	2108	"PB2"	1
359	1805	"PB2"	1
108	2119	"PB2"	1
242	1839	"PB2"	1
173	2169	"PB2"	1
141	2053	"PB2"	1
131	1801	"PB2"	1
70	2055	"PB2"	1
263	1851	"PB2"	1
364	1830	"PB2"	1
384	1838	"PB2"	1
204	2005	"PB2"	1
382	1863	"PB2"	1
273	2069	"PB2"	1
206	1992	"PB2"	1
363	1798	"PB2"	1
144	2028	"PB2"	1
86	2156	"PB2"	1
164	1903	"PB2"	1
77	2015	"PB2"	1
243	2175	"PB2"	1
182	1907	"PB2"	1
186	1923	"PB2"	1
110	2121	"PB2"	1
235	1991	"PB2"	1
130	1817	"PB2"	1
62	2004	"PB2"	1
105	2065	"PB2"	1
333	1868	"PB2"	1
343	1805	"PB2"	1
340	2009	"PB2"	1
248	2097	"PB2"	1
389	2111	"PB2"	1
193	1870	"PB2"	1
277	1981	"PB2"	1
172	1964	"PB2"	1
160	1931	"PB2"	1
270	2047	"PB2"	1
136	1827	"PB2"	1
388	2006	"PB2"	1
168	1951	"PB2"	1
107	2092	"PB2"	1
85	1997	"PB2"	1
293	1806	"PB2"	1
114	1891	"PB2"	1
111	1967	"PB2"	1
388	2027	"PB2"	1
390	1825	"PB2"	1
272	1837	"PB2"	1
394	1924	"PB2"	1
120	2127	"PB2"	1
181	2076	"PB2"	1
254	2049	"PB2"	1
368	1889	"PB2"	1
254	2069	"PB2"	1
245	2098	"PB2"	1
80	2043	"PB2"	1
242	1942	"PB2"	1
89	1837	"PB2"	1
396	1904	"PB2"	1
342	1899	"PB2"	1
238	1838	"PB2"	1
182	2074	"PB2"	1
237	1899	"PB2"	1
318	2109	"PB2"	1
361	2096	"PB2"	1
388	2113	"PB2"	1
352	1915	"PB2"	1
251	2177	"PB2"	1
225	1851	"PB2"	1
277	1829	"PB2"	1
106	1976	"PB2"	1
385	1808	"PB2"	1
78	2001	"PB2"	1
227	2175	"PB2"	1
213	1863	"PB2"	1
161	2011	"PB2"	1
323	2166	"PB2"	1
155	1887	"PB2"	1
263	1949	"PB2"	1
136	1853	"PB2"	1
178	2017	"PB2"	1
271	2165	"PB2"	1
292	2134	"PB2"	1
258	2025	"PB2"	1
55	2143	"PB2"	1
199	2036	"PB2"	1
141	1813	"PB2"	1
130	1927	"PB2"	1
269	1880	"PB2"	1
317	2189	"PB2"	1
54	1892	"PB2"	1
141	1958	"PB2"	1
360	1939	"PB2"	1
227	1971	"PB2"	1
257	2113	"PB2"	1
202	1848	"PB2"	1
203	1968	"PB2"	1
165	2003	"PB2"	1
135	2115	"PB2"	1
212	2123	"PB2"	1
119	1865	"PB2"	1
54	2109	"PB2"	1
335	1816	"PB2"	1
305	2048	"PB2"	1
351	1857	"PB2"	1
333	2098	"PB2"	1
191	2093	"PB2"	1
323	1921	"PB2"	1
275	2019	"PB2"	1
337	2154	"PB2"	1
229	1987	"PB2"	1
174	1800	"PB2"	1
266	1906	"PB2"	1
140	1953	"PB2"	1
94	2122	"PB2"	1
269	1928	"PB2"	1
354	2111	"PB2"	1
247	2088	"PB2"	1
295	2039	"PB2"	1
244	2093	"PB2"	1
230	1940	"PB2"	1
124	2152	"PB2"	1
206	2021	"PB2"	1
350	2190	"PB2"	1
332	2184	"PB2"	1
375	1799	"PB2"	1
354	2159	"PB2"	1
268	2162	"PB2"	1
244	2037	"PB2"	1
95	1887	"PB2"	1
314	2087	"PB2"	1
283	1909	"PB2"	1
371	1956	"PB2"	1
181	2080	"PB2"	1
249	1853	"PB2"	1
373	2048	"PB2"	1
278	1832	"PB2"	1
89	1849	"PB2"	1
263	1935	"PB2"	1
227	1950	"PB2"	1
152	2120	"PB2"	1
250	1884	"PB2"	1
288	2195	"PB2"	1
390	2192	"PB2"	1
187	1943	"PB2"	1
369	1865	"PB2"	1
216	1956	"PB2"	1
270	1886	"PB2"	1
351	2050	"PB2"	1
220	2102	"PB2"	1
388	1880	"PB2"	1
320	2097	"PB2"	1
369	2106	"PB2"	1
89	1883	"PB2"	1
213	1797	"PB2"	1
307	1825	"PB2"	1
357	1891	"PB2"	1
54	1984	"PB2"	1
301	1886	"PB2"	1
53	1851	"PB2"	1
313	2179	"PB2"	1
136	1995	"PB2"	1
239	2051	"PB2"	1
388	2135	"PB2"	1
201	2099	"PB2"	1
216	1807	"PB2"	1
360	1829	"PB2"	1
243	2068	"PB2"	1
153	2070	"PB2"	1
174	2144	"PB2"	1
255	1992	"PB2"	1
147	1953	"PB2"	1
153	2077	"PB2"	1
187	1989	"PB2"	1
331	2088	"PB2"	1
311	2153	"PB2"	1
226	2070	"PB2"	1
115	1806	"PB2"	1
373	2193	"PB2"	1
83	1939	"PB2"	1
204	1799	"PB2"	1
115	1969	"PB2"	1
359	1966	"PB2"	1
121	2030	"PB2"	1
251	2028	"PB2"	1
258	1845	"PB2"	1
371	1946	"PB2"	1
379	1816	"PB2"	1
63	2131	"PB2"	1
227	1937	"PB2"	1
208	1832	"PB2"	1
124	2000	"PB2"	1
228	2191	"PB2"	1
311	1914	"PB2"	1
311	2030	"PB2"	1
385	2021	"PB2"	1
254	1904	"PB2"	1
83	1995	"PB2"	1
187	1833	"PB2"	1
202	2056	"PB2"	1
149	2119	"PB2"	1
180	1859	"PB2"	1
137	2156	"PB2"	1
76	2030	"PB2"	1
316	1877	"PB2"	1
89	2089	"PB2"	1
209	1798	"PB2"	1
52	2124	"PB2"	1
359	2194	"PB2"	1
217	2172	"PB2"	1
193	1963	"PB2"	1
366	1898	"PB2"	1
311	2019	"PB2"	1
71	2063	"PB2"	1
164	2183	"PB2"	1
301	2062	"PB2"	1
180	2011	"PB2"	1
190	1909	"PB2"	1
291	2050	"PB2"	1
339	2085	"PB2"	1
381	2105	"PB2"	1
354	2037	"PB2"	1
378	1970	"PB2"	1
55	1885	"PB2"	1
98	2070	"PB2"	1
59	2138	"PB2"	1
260	1964	"PB2"	1
188	1843	"PB2"	1
333	2050	"PB2"	1
116	2149	"PB2"	1
213	1856	"PB2"	1
256	2194	"PB2"	1
165	2115	"PB2"	1
190	2018	"PB2"	1
113	2175	"PB2"	1
231	1808	"PB2"	1
81	1987	"PB2"	1
294	2178	"PB2"	1
316	2164	"PB2"	1
158	2156	"PB2"	1
380	1997	"PB2"	1
83	2189	"PB2"	1
139	1901	"PB2"	1
213	1909	"PB2"	1
167	2068	"PB2"	1
363	2175	"PB2"	1
92	2156	"PB2"	1
333	1960	"PB2"	1
251	2023	"PB2"	1
341	2151	"PB2"	1
66	2068	"PB2"	1
256	1818	"PB2"	1
336	1870	"PB2"	1
260	1880	"PB2"	1
382	2169	"PB2"	1
50	2177	"PB2"	1
139	2195	"PB2"	1
116	1892	"PB2"	1
100	1931	"PB2"	1
159	2105	"PB2"	1
136	1967	"PB2"	1
91	1884	"PB2"	1
259	2014	"PB2"	1
101	1939	"PB2"	1
279	1873	"PB2"	1
394	1960	"PB2"	1
228	2090	"PB2"	1
141	1797	"PB2"	1
315	2112	"PB2"	1
136	2072	"PB2"	1
251	2028	"PB2"	1
52	2095	"PB2"	1
213	2138	"PB2"	1
93	1982	"PB2"	1
317	2012	"PB2"	1
328	1867	"PB2"	1
119	2059	"PB2"	1
58	2187	"PB2"	1
184	1832	"PB2"	1
320	1973	"PB2"	1
93	2121	"PB2"	1
299	2071	"PB2"	1
273	2103	"PB2"	1
367	1901	"PB2"	1
80	1987	"PB2"	1
232	2191	"PB2"	1
349	2150	"PB2"	1
320	2026	"PB2"	1
288	2098	"PB2"	1
169	2122	"PB2"	1
273	1870	"PB2"	1
144	2072	"PB2"	1
175	1883	"PB2"	1
179	2096	"PB2"	1
294	1909	"PB2"	1
134	1884	"PB2"	1
338	1865	"PB2"	1
112	2036	"PB2"	1
137	1927	"PB2"	1
110	1894	"PB2"	1
171	2135	"PB2"	1
234	2193	"PB2"	1
81	2168	"PB2"	1
147	1946	"PB2"	1
284	2128	"PB2"	1
229	1987	"PB2"	1
93	1849	"PB2"	1
294	2143	"PB2"	1
232	1932	"PB2"	1
84	1952	"PB2"	1
322	1913	"PB2"	1
338	2046	"PB2"	1
255	2000	"PB2"	1
166	1942	"PB2"	1
87	1898	"PB2"	1
317	2176	"PB2"	1
335	2001	"PB2"	1
146	1961	"PB2"	1
283	1855	"PB2"	1
97	2194	"PB2"	1
274	1979	"PB2"	1
51	1993	"PB2"	1
73	2123	"PB2"	1
116	2187	"PB2"	1
221	1912	"PB2"	1
261	2105	"PB2"	1
253	1972	"PB2"	1
248	1936	"PB2"	1
369	1866	"PB2"	1
119	2026	"PB2"	1
206	1809	"PB2"	1
191	1965	"PB2"	1
265	1878	"PB2"	1
371	1854	"PB2"	1
332	1903	"PB2"	1
56	1852	"PB2"	1
56	1839	"PB2"	1
94	1818	"PB2"	1
230	2188	"PB2"	1
224	1910	"PB2"	1
168	1928	"PB2"	1
350	2018	"PB2"	1
372	1942	"PB2"	1
357	1901	"PB2"	1
116	1818	"PB2"	1
170	2044	"PB2"	1
208	1807	"PB2"	1
115	2111	"PB2"	1
388	2149	"PB2"	1
385	1947	"PB2"	1
305	1964	"PB2"	1
125	1902	"PB2"	1
109	1852	"PB2"	1
385	2090	"PB2"	1
144	2009	"PB2"	1
329	1971	"PB2"	1
108	1864	"PB2"	1
278	2133	"PB2"	1
278	1873	"PB2"	1
250	1989	"PB2"	1
109	1976	"PB2"	1
77	2027	"PB2"	1
377	1843	"PB2"	1
187	1940	"PB2"	1
82	2152	"PB2"	1
93	1843	"PB2"	1
319	2021	"PB2"	1
227	2081	"PB2"	1
250	1940	"PB2"	1
77	2124	"PB2"	1
107	2000	"PB2"	1
380	2109	"PB2"	1
154	2053	"PB2"	1
252	1900	"PB2"	1
265	1911	"PB2"	1
163	2042	"PB2"	1
201	2142	"PB2"	1
108	1991	"PB2"	1
315	2031	"PB2"	1
392	1838	"PB2"	1
223	2008	"PB2"	1
119	2009	"PB2"	1
171	1927	"PB2"	1
304	1958	"PB2"	1
86	1807	"PB2"	1
317	1851	"PB2"	1
248	1993	"PB2"	1
245	2032	"PB2"	1
373	1804	"PB2"	1
61	1921	"PB2"	1
157	2020	"PB2"	1
67	2161	"PB2"	1
218	2003	"PB2"	1
259	2065	"PB2"	1
53	2065	"PB2"	1
264	2004	"PB2"	1
299	2120	"PB2"	1
332	2031	"PB2"	1
245	2126	"PB2"	1
244	2194	"PB2"	1
298	2183	"PB2"	1
397	2017	"PB2"	1
124	1916	"PB2"	1
349	1898	"PB2"	1
275	2035	"PB2"	1
82	1905	"PB2"	1
124	1809	"PB2"	1
150	1882	"PB2"	1
112	1914	"PB2"	1
383	2184	"PB2"	1
171	2161	"PB2"	1
300	1908	"PB2"	1
273	1918	"PB2"	1
308	1836	"PB2"	1
220	2115	"PB2"	1
149	1945	"PB2"	1
206	1804	"PB2"	1
173	2064	"PB2"	1
261	2113	"PB2"	1
230	2044	"PB2"	1
299	2111	"PB2"	1
185	1937	"PB2"	1
215	1991	"PB2"	1
351	1911	"PB2"	1
248	1965	"PB2"	1
52	2007	"PB2"	1
299	1845	"PB2"	1
166	2020	"PB2"	1
295	1982	"PB2"	1
386	2163	"PB2"	1
364	1818	"PB2"	1
89	2191	"PB2"	1
348	2127	"PB2"	1
210	1967	"PB2"	1
322	2016	"PB2"	1
125	2067	"PB2"	1
80	2060	"PB2"	1
275	2107	"PB2"	1
377	2079	"PB2"	1
318	2030	"PB2"	1
238	2028	"PB2"	1
104	1985	"PB2"	1
280	2030	"PB2"	1
290	1812	"PB2"	1
258	2153	"PB2"	1
117	2178	"PB2"	1
256	2055	"PB2"	1
321	2165	"PB2"	1
383	2187	"PB2"	1
217	2091	"PB2"	1
54	1871	"PB2"	1
244	1902	"PB2"	1
393	2145	"PB2"	1
73	2023	"PB2"	1
178	1855	"PB2"	1
204	1875	"PB2"	1
319	1828	"PB2"	1
136	1974	"PB2"	1
178	1818	"PB2"	1
66	1932	"PB2"	1
233	1912	"PB2"	1
174	2132	"PB2"	1
336	2122	"PB2"	1
380	2139	"PB2"	1
277	2018	"PB2"	1
133	2189	"PB2"	1
95	2156	"PB2"	1
102	1979	"PB2"	1
198	2024	"PB2"	1
157	2040	"PB2"	1
390	1914	"PB2"	1
274	2142	"PB2"	1
110	1997	"PB2"	1
103	2019	"PB2"	1
261	2091	"PB2"	1
384	2099	"PB2"	1
